1,Buena Vista,21.8%,"$2,410.4",12,8,
2,Warner Bros.,18.4%,"$2,035.0",33,20,
3,Universal,13.8%,"$1,528.9",16,14,
4,20th Century Fox,12.0%,"$1,326.0",19,14,
5,Sony / Columbia,9.5%,"$1,054.1",28,25,
6,Lionsgate,8.0%,$885.0,22,19,
7,Paramount,4.8%,$534.3,18,12,
8,STX Entertainment,1.9%,$207.3,9,8,
9,Focus Features,1.2%,$129.9,10,7,
10,Weinstein Company,1.1%,$124.7,8,7,
11,Open Road Films,1.0%,$108.8,9,9,
12,A24,0.9%,$101.9,17,15,
13,Fox Searchlight,0.9%,$99.3,12,11,
14,Bleecker Street,0.5%,$59.7,7,6,
15,Entertainment Studios,0.4%,$48.2,4,4,
16,Roadside Attractions,0.4%,$39.1,10,9,
17,Aviron,0.3%,$30.7,1,1,
18,Sony Classics,0.3%,$30.5,18,12,
19,BH Tilt,0.3%,$29.7,5,5,
20,Fathom,0.2%,$27.2,26,26,
21,Pure Flix,0.2%,$23.7,3,3,
22,Broad Green Pictures,0.2%,$21.0,5,4,
23,Annapurna Pictures,0.2%,$20.5,3,3,
24,Great India Films,0.2%,$20.2,1,1,
25,Magnolia,0.1%,$11.8,26,22,
26,Neon,0.1%,$9.5,7,7,
27,Yash Raj,0.1%,$7.5,4,4,
28,Atlas Distribution,0.1%,$7.4,4,4,
29,The Orchard,0.1%,$6.9,16,14,
30,IFC,0.1%,$6.8,26,23,
31,IMAX,0.1%,$6.7,5,1,
32,FIP,0.1%,$6.4,7,7,
33,FUNimation Films,0.1%,$6.4,5,5,
34,Good Deed,0.1%,$6.3,3,3,
35,Sony / AFFIRM Films,0.1%,$5.8,1,1,
36,Well Go USA,0.1%,$5.7,26,24,
37,UTV Communications,0.0%,$4.9,2,1,
38,Oscilloscope Pictures,0.0%,$4.6,13,11,
39,Cohen Media Group,0.0%,$4.5,13,13,
40,China Lion,0.0%,$4.2,12,11,
41,Music Box Films,0.0%,$3.9,10,7,
42,Cinelou Films,0.0%,$3.6,1,1,
43,Novus,0.0%,$3.5,1,1,
44,Abramorama,0.0%,$3.4,21,19,
45,Zee TV,0.0%,$3.3,1,1,
46,CJ Entertainment,0.0%,$3.2,11,9,
47,Entertainment One,0.0%,$2.8,1,1,
48,Shorts International,0.0%,$2.8,1,1,
49,H Collective,0.0%,$2.7,1,1,
50,Screen Media,0.0%,$2.5,2,2,
51,Electric Entertainment,0.0%,$2.5,1,1,
52,Eleven Arts,0.0%,$2.4,4,4,
53,High Top Releasing,0.0%,$2.3,1,1,
54,Purdie Distribution,0.0%,$2.2,4,4,
55,FilmRise,0.0%,$1.9,21,15,
56,Reliance Big Pictures,0.0%,$1.8,1,1,
57,Gunpowder & Sky,0.0%,$1.7,2,2,
58,River Rain,0.0%,$1.7,1,1,
59,Kino Lorber,0.0%,$1.7,32,28,
60,CBS Films,0.0%,$1.5,2,2,
61,Menemsha,0.0%,$1.4,3,3,
62,Amazon Studios,0.0%,$1.3,1,1,
63,Faith Media,0.0%,$1.2,1,1,
64,Independent,0.0%,$1.1,5,5,
65,Distrib Films,0.0%,$1.1,4,4,
66,Eros,0.0%,$1.0,3,3,
67,Screenvision,0.0%,$1.0,1,1,
68,Reliance Films,0.0%,$1.0,1,1,
69,Gathr Films,0.0%,$917k,6,13,
70,Janus Films,0.0%,$891k,10,9,
71,GKIDS,0.0%,$759k,7,6,
72,PBS Distribution,0.0%,$733k,3,3,
73,Film Movement,0.0%,$708k,19,19,
74,Focus World,0.0%,$515k,1,1,
75,Orion Pictures,0.0%,$494k,5,5,
76,Indican,0.0%,$436k,26,17,
77,Paladin,0.0%,$416k,5,5,
78,Vitagraph,0.0%,$411k,3,3,
79,Samuel Goldwyn,0.0%,$379k,4,4,
80,Gravitas Ventures,0.0%,$376k,5,5,
81,Strand,0.0%,$374k,13,12,
82,The Film Arcade,0.0%,$292k,2,2,
83,Zeitgeist,0.0%,$286k,3,3,
84,Matson Films,0.0%,$280k,6,5,
85,ArtAffects,0.0%,$266k,2,2,
86,Rialto,0.0%,$240k,9,7,
87,Arrow Films,0.0%,$239k,4,4,
88,Sumerian Films,0.0%,$238k,1,1,
89,Argot Pictures,0.0%,$181k,5,5,
90,First Run,0.0%,$177k,12,12,
91,Smith Global ,0.0%,$169k,1,1,
92,Cinema Guild,0.0%,$163k,7,7,
93,Abkco Films,0.0%,$153k,1,1,
94,Zipporah Films,0.0%,$151k,1,1,
95,Submarine Deluxe,0.0%,$137k,2,2,
96,Society Films,0.0%,$128k,1,1,
97,Parade Deck Films,0.0%,$117k,9,9,
98,Grasshopper Film,0.0%,$108k,5,5,
99,Collective Eye,0.0%,$107k,1,0,
100,CFI Releasing,0.0%,$94.2k,1,1,
101,BBC Worldwide North America,0.0%,$81.3k,1,1,
102,Icarus Films,0.0%,$73.1k,12,4,
103,Bond/360,0.0%,$69.9k,3,3,
104,Under the Milky Way,0.0%,$66.2k,4,3,
105,Dada Films,0.0%,$65.4k,1,1,
106,Shout! Factory,0.0%,$62.4k,1,1,
107,Cinema Libre Studio,0.0%,$60.3k,1,1,
108,Crimson Forest,0.0%,$54.2k,1,1,
109,Vertical Entertainment,0.0%,$53.2k,4,4,
110,Sarkasmos,0.0%,$51.5k,1,1,
111,Cinema Libre,0.0%,$45.5k,1,1,
112,"Monterey Media, Inc.",0.0%,$37.7k,2,2,
113,Super,0.0%,$33.2k,1,1,
114,Freestyle Releasing,0.0%,$31.4k,4,3,
115,Epic Pictures,0.0%,$30.1k,3,3,
116,Lucid Dreaming Inc.,0.0%,$29.7k,1,1,
117,Newcity,0.0%,$29.6k,1,1,
118,Big World Pictures,0.0%,$29.2k,1,1,
119,Barn Owl,0.0%,$25.3k,1,1,
120,CAVU,0.0%,$25.3k,1,1,
121,CARUSEL,0.0%,$24.7k,1,1,
122,Eammon Films,0.0%,$22.8k,1,1,
123,EuropaCorp,0.0%,$21.2k,2,0,
124,The Film Collaborative,0.0%,$18.9k,2,1,
125,FilmBuff,0.0%,$17.9k,1,1,
126,,0.0%,$17.6k,4,4,
127,CanZion Films,0.0%,$15.3k,1,0,
128,Momentum,0.0%,$14.8k,1,1,
129,AMBI,0.0%,$10.8k,1,1,
130,Amor,0.0%,$10.3k,1,1,
131,TriCoast Worldwide,0.0%,$10.2k,1,1,
132,Five & Two Pictures,0.0%,$9.3k,1,0,
133,Arrow Releasing,0.0%,$8.4k,1,1,
134,Hannover House,0.0%,$6.8k,1,0,
135,Mypheduh Films,0.0%,$6.8k,1,1,
136,Monument Releasing,0.0%,$6.7k,1,1,
137,Global Digital,0.0%,$6.5k,1,1,
138,Medallion,0.0%,$6.2k,1,0,
139,Archstone,0.0%,$6.0k,1,1,
140,Paramount Classics,0.0%,$5.9k,1,1,
141,Factory,0.0%,$5.5k,1,1,
142,Swen,0.0%,$4.7k,2,2,
143,Vladar Company,0.0%,$4.4k,1,1,
144,Unknown,0.0%,$4.4k,1,1,
145,Smarthouse,0.0%,$3.8k,1,1,
146,Hibernation,0.0%,$3.6k,1,1,
147,Hey Jude Productions,0.0%,$3.3k,1,0,
148,Lightyear Entertainment,0.0%,$3.0k,1,0,
149,Uncork'd,0.0%,$2.9k,1,1,
150,Artsploitation,0.0%,$2.3k,1,1,
151,Vanish Films,0.0%,$1.6k,1,0,
152,Driving With Our Eyes Shut,0.0%,$1.3k,1,0,
153,The Ashton Times,0.0%,$0.3k,1,0,
1,Buena Vista,26.3%,"$3,000.9",16,13,
2,Warner Bros.,16.7%,"$1,902.2",35,23,
3,20th Century Fox,12.9%,"$1,468.9",22,16,
4,Universal,12.4%,"$1,408.0",20,17,
5,Sony / Columbia,8.0%,$911.5,27,22,
6,Paramount,7.7%,$876.8,18,15,
7,Lionsgate,5.8%,$665.0,27,24,
8,Focus Features,1.7%,$196.7,12,10,
9,STX Entertainment,1.7%,$195.6,7,6,
10,Open Road Films,0.9%,$107.0,8,7,
11,Roadside Attractions,0.7%,$75.7,11,10,
12,A24,0.6%,$65.8,20,18,
13,Weinstein Company,0.6%,$64.9,11,7,
14,Fox Searchlight,0.5%,$51.3,7,5,
15,Pure Flix,0.3%,$38.4,5,4,
16,Broad Green Pictures,0.3%,$37.1,6,6,
17,Bleecker Street,0.3%,$33.8,7,6,
18,Sony Classics,0.3%,$32.0,21,16,
19,EuropaCorp,0.3%,$30.1,3,3,
20,Relativity,0.2%,$19.8,2,2,
21,BH Tilt,0.1%,$15.6,2,2,
22,IFC,0.1%,$13.8,22,22,
23,Gramercy,0.1%,$12.7,1,1,
24,UTV Communications,0.1%,$11.3,7,6,
25,Freestyle Releasing,0.1%,$11.0,8,7,
26,FIP,0.1%,$10.7,6,6,
27,IMAX,0.1%,$10.4,6,3,
28,Yash Raj,0.1%,$9.0,3,3,
29,Well Go USA,0.1%,$8.5,13,12,
30,The Orchard,0.1%,$7.4,13,13,
31,Eros,0.1%,$7.4,14,13,
32,Magnolia,0.1%,$6.6,31,28,
33,Fathom,0.0%,$5.5,2,2,
34,Music Box Films,0.0%,$5.4,13,11,
35,China Lion,0.0%,$4.6,15,13,
36,The Film Arcade,0.0%,$4.4,2,2,
37,CineGalaxy,0.0%,$4.4,3,3,
38,Drafthouse,0.0%,$4.2,7,6,
39,Reliance Big Pictures,0.0%,$3.5,2,2,
40,Abramorama,0.0%,$3.3,10,9,
41,Blue SKy Cinema,0.0%,$3.1,2,2,
42,CJ Entertainment,0.0%,$3.0,16,15,
43,Shorts International,0.0%,$2.8,1,1,
44,FUNimation Films,0.0%,$2.6,5,5,
45,Strasson Group,0.0%,$2.3,1,0,
46,Cohen Media Group,0.0%,$2.1,13,11,
47,Hammond,0.0%,$2.0,1,1,
48,Oscilloscope Pictures,0.0%,$1.9,10,9,
49,Kino Lorber,0.0%,$1.5,38,30,
50,Entertainment One,0.0%,$1.5,4,3,
51,FilmRise,0.0%,$1.2,13,12,
52,Cinema Libre,0.0%,$1.2,2,2,
53,Cinema Libre Studio,0.0%,$1.2,2,2,
54,Amplify,0.0%,$1.2,1,1,
55,Menemsha,0.0%,$1.2,2,2,
56,GKIDS,0.0%,$1.1,6,5,
57,Yari Film Group,0.0%,$1.1,1,1,
58,LifeWay Films,0.0%,$1.1,1,1,
59,Zee TV,0.0%,$1.1,1,1,
60,IMG Films,0.0%,$996k,1,1,
61,Gathr Films,0.0%,$957k,6,6,
62,Gaatri Media,0.0%,$898k,1,1,
63,Indican,0.0%,$843k,23,15,
64,Saban Films,0.0%,$780k,1,1,
65,Purdie Distribution,0.0%,$744k,1,1,
66,Janus Films,0.0%,$736k,8,8,
67,Strand,0.0%,$730k,18,17,
68,Tugg ,0.0%,$664k,4,4,
